Date,Shift,Truck_ID,Loads,Tonnes_Hauled
2025-01-04,Day,TR012,21,1071
2025-01-04,Day,TR013,28,1428
2025-01-04,Day,TR014,29,1450
2025-01-04,Day,TR015,31,1612
2025-01-04,Day,TR016,12,564
2025-01-04,Day,TR017,30,1860
2025-01-04,Day,TR018,16,912
2025-01-04,Day,TR019,25,1175
2025-01-04,Day,TR020,22,1276
2025-01-04,Night,TR001,34,2074
2025-01-04,Night,TR002,14,686
2025-01-04,Night,TR003,22,1056
2025-01-04,Night,TR004,25,1125
2025-01-04,Night,TR005,14,630
2025-01-04,Night,TR006,18,1080
2025-01-04,Night,TR007,16,1024
2025-01-04,Night,TR008,18,810
2025-01-04,Night,TR009,19,1121
2025-01-04,Night,TR010,14,644
2025-01-04,Night,TR011,31,1736
2025-01-04,Night,TR012,19,1140
2025-01-04,Night,TR013,31,1612
2025-01-04,Night,TR014,24,1080
2025-01-04,Night,TR015,19,1064
2025-01-04,Night,TR016,16,1024
2025-01-04,Night,TR017,34,1700
2025-01-04,Night,TR018,21,1008
2025-01-04,Night,TR019,23,1081
2025-01-04,Night,TR020,20,1120
2025-01-05,Day,TR001,26,1456
2025-01-05,Day,TR002,17,1020
2025-01-05,Day,TR003,27,1620
2025-01-05,Day,TR004,22,1364
2025-01-05,Day,TR005,20,1220
2025-01-05,Day,TR006,16,784
2025-01-05,Day,TR007,24,1344
2025-01-05,Day,TR008,29,1450
2025-01-05,Day,TR009,32,1632
2025-01-05,Day,TR010,24,1512
2025-01-05,Day,TR011,24,1392
2025-01-05,Day,TR012,32,2048
2025-01-05,Day,TR013,23,1219
2025-01-05,Day,TR014,16,880
2025-01-05,Day,TR015,33,1782
2025-01-05,Day,TR016,20,940
2025-01-05,Day,TR017,20,980
2025-01-05,Day,TR018,34,1870
2025-01-05,Day,TR019,15,690
2025-01-05,Day,TR020,31,1953
2025-01-05,Night,TR001,29,1363
2025-01-05,Night,TR002,14,672
2025-01-05,Night,TR003,29,1740
2025-01-05,Night,TR004,31,1426
2025-01-05,Night,TR005,15,945
2025-01-05,Night,TR006,33,1947
2025-01-05,Night,TR007,14,644
2025-01-05,Night,TR008,13,754
2025-01-05,Night,TR009,31,1767
2025-01-05,Night,TR010,18,1080
2025-01-05,Night,TR011,13,793
2025-01-05,Night,TR012,32,1888
2025-01-05,Night,TR013,32,1792
2025-01-05,Night,TR014,22,1122
2025-01-05,Night,TR015,33,1914
2025-01-05,Night,TR016,16,1024
2025-01-05,Night,TR017,13,728
2025-01-05,Night,TR018,16,928
2025-01-05,Night,TR019,21,1113
2025-01-05,Night,TR020,27,1620
2025-01-06,Day,TR001,20,1280
2025-01-06,Day,TR002,23,1104
2025-01-06,Day,TR003,12,588
2025-01-06,Day,TR004,27,1485
2025-01-06,Day,TR005,19,1026
2025-01-06,Day,TR006,31,1736
2025-01-06,Day,TR007,13,585
2025-01-06,Day,TR008,23,1219
2025-01-06,Day,TR009,31,1736
2025-01-06,Day,TR010,29,1624
2025-01-06,Day,TR011,19,1102
2025-01-06,Day,TR012,26,1534
2025-01-06,Day,TR013,16,912
2025-01-06,Day,TR014,18,1080
2025-01-06,Day,TR015,30,1710
2025-01-06,Day,TR016,33,1815
2025-01-06,Day,TR017,12,684
2025-01-06,Day,TR018,29,1363
2025-01-06,Day,TR019,14,700
2025-01-06,Day,TR020,31,1705
2025-01-06,Night,TR001,34,2108
2025-01-06,Night,TR002,24,1392
2025-01-06,Night,TR003,19,874
2025-01-06,Night,TR004,21,1176
2025-01-06,Night,TR005,16,784
2025-01-06,Night,TR006,12,708
2025-01-06,Night,TR007,32,1952
2025-01-06,Night,TR008,20,1120
2025-01-06,Night,TR009,34,1904
2025-01-06,Night,TR010,18,918
2025-01-06,Night,TR011,28,1484
2025-01-06,Night,TR012,31,1922
2025-01-06,Night,TR013,12,708
2025-01-06,Night,TR014,20,1100
2025-01-06,Night,TR015,18,936
2025-01-06,Night,TR016,19,874
2025-01-06,Night,TR017,30,1410
2025-01-06,Night,TR018,20,960
2025-01-06,Night,TR019,15,780
2025-01-06,Night,TR020,33,2079
2025-01-07,Day,TR001,20,1100
2025-01-07,Day,TR002,34,1666
2025-01-07,Day,TR003,33,1551
2025-01-07,Day,TR004,17,867
2025-01-07,Day,TR005,12,732
2025-01-07,Day,TR006,31,1612
2025-01-07,Day,TR007,31,1860
2025-01-07,Day,TR008,30,1830
2025-01-07,Day,TR009,25,1175
2025-01-07,Day,TR010,33,1881
2025-01-07,Day,TR011,32,2048
2025-01-07,Day,TR012,16,848
2025-01-07,Day,TR013,16,736
2025-01-07,Day,TR014,34,2142
2025-01-07,Day,TR015,33,2046
2025-01-07,Day,TR016,26,1430
2025-01-07,Day,TR017,34,1904
2025-01-07,Day,TR018,26,1274
2025-01-07,Day,TR019,29,1769
2025-01-07,Day,TR020,27,1458
2025-01-07,Night,TR001,16,720
2025-01-07,Night,TR002,26,1508
2025-01-07,Night,TR003,29,1856
2025-01-07,Night,TR004,23,1403
2025-01-07,Night,TR005,28,1400
2025-01-07,Night,TR006,31,1426
2025-01-07,Night,TR007,25,1575
2025-01-07,Night,TR008,27,1701
2025-01-07,Night,TR009,13,715
2025-01-07,Night,TR010,29,1653
2025-01-07,Night,TR011,32,1728
2025-01-07,Night,TR012,27,1431
2025-01-07,Night,TR013,32,1504
2025-01-07,Night,TR014,17,782
2025-01-07,Night,TR015,28,1372
2025-01-07,Night,TR016,19,1159
2025-01-07,Night,TR017,20,940
2025-01-07,Night,TR018,12,588
2025-01-07,Night,TR019,33,1815
2025-01-07,Night,TR020,34,1666
2025-01-08,Day,TR001,20,960
2025-01-08,Day,TR002,21,1176
2025-01-08,Day,TR003,30,1560
2025-01-08,Day,TR004,29,1653
2025-01-08,Day,TR005,18,1134
2025-01-08,Day,TR006,21,1008
2025-01-08,Day,TR007,34,2142
2025-01-08,Day,TR008,13,819
2025-01-08,Day,TR009,33,2013
2025-01-08,Day,TR010,17,969
2025-01-08,Day,TR011,24,1368
2025-01-08,Day,TR012,26,1482
2025-01-08,Day,TR013,23,1334
2025-01-08,Day,TR014,24,1080
2025-01-08,Day,TR015,12,768
2025-01-08,Day,TR016,32,1792
2025-01-08,Day,TR017,16,960
2025-01-08,Day,TR018,15,780
2025-01-08,Day,TR019,19,855
2025-01-08,Day,TR020,30,1650
2025-01-08,Night,TR001,19,1045
2025-01-08,Night,TR002,12,636
2025-01-08,Night,TR003,23,1173
2025-01-08,Night,TR004,31,1519
2025-01-08,Night,TR005,15,825
2025-01-08,Night,TR006,32,1664
2025-01-08,Night,TR007,13,832
2025-01-08,Night,TR008,22,1056
2025-01-08,Night,TR009,26,1326
2025-01-08,Night,TR010,33,1650
2025-01-08,Night,TR011,24,1320
2025-01-08,Night,TR012,17,918
2025-01-08,Night,TR013,14,798
2025-01-08,Night,TR014,29,1856
2025-01-08,Night,TR015,19,950
2025-01-08,Night,TR016,24,1392
2025-01-08,Night,TR017,34,1530
2025-01-08,Night,TR018,17,850
2025-01-08,Night,TR019,17,918
2025-01-08,Night,TR020,32,1440
2025-01-09,Day,TR001,30,1710
2025-01-09,Day,TR002,26,1508
2025-01-09,Day,TR003,14,826
2025-01-09,Day,TR004,17,935
2025-01-09,Day,TR005,27,1539
2025-01-09,Day,TR006,19,988
2025-01-09,Day,TR007,22,990
2025-01-09,Day,TR008,28,1288
2025-01-09,Day,TR009,22,1276
2025-01-09,Day,TR010,13,832
2025-01-09,Day,TR011,20,900
2025-01-09,Day,TR012,27,1512
2025-01-09,Day,TR013,26,1560
2025-01-09,Day,TR014,22,1342
2025-01-09,Day,TR015,20,1100
2025-01-09,Day,TR016,15,855
2025-01-09,Day,TR017,18,1044
2025-01-09,Day,TR018,30,1860
2025-01-09,Day,TR019,33,1551
2025-01-09,Day,TR020,15,945
2025-01-09,Night,TR001,20,900
2025-01-09,Night,TR002,18,1098
2025-01-09,Night,TR003,20,920
2025-01-09,Night,TR004,28,1344
2025-01-09,Night,TR005,20,900
2025-01-09,Night,TR006,25,1325
2025-01-09,Night,TR007,31,1581
2025-01-09,Night,TR008,16,768
2025-01-09,Night,TR009,16,864
2025-01-09,Night,TR010,14,742
2025-01-09,Night,TR011,31,1860
2025-01-09,Night,TR012,26,1612
2025-01-09,Night,TR013,29,1682
2025-01-09,Night,TR014,31,1457
2025-01-09,Night,TR015,30,1500
2025-01-09,Night,TR016,28,1764
2025-01-09,Night,TR017,23,1058
2025-01-09,Night,TR018,20,1060
2025-01-09,Night,TR019,33,2079
2025-01-09,Night,TR020,25,1600
2025-01-10,Day,TR001,22,1166
2025-01-10,Day,TR002,31,1798
2025-01-10,Day,TR003,24,1296
2025-01-10,Day,TR004,28,1680
2025-01-10,Day,TR005,23,1035
2025-01-10,Day,TR006,14,658
2025-01-10,Day,TR007,22,1254
2025-01-10,Day,TR008,30,1470
2025-01-10,Day,TR009,30,1740
2025-01-10,Day,TR010,13,676
2025-01-10,Day,TR011,18,1116
2025-01-10,Day,TR012,33,2013
2025-01-10,Day,TR013,24,1296
2025-01-10,Day,TR014,19,1140
2025-01-10,Day,TR015,13,650
2025-01-10,Day,TR016,15,810
2025-01-10,Day,TR017,18,864
2025-01-10,Day,TR018,20,1240
2025-01-10,Day,TR019,24,1464
2025-01-10,Day,TR020,33,2079
2025-01-10,Night,TR001,20,1240
2025-01-10,Night,TR002,32,2048
2025-01-10,Night,TR003,20,980
2025-01-10,Night,TR004,25,1575
2025-01-10,Night,TR005,32,1792
2025-01-10,Night,TR006,15,795
2025-01-10,Night,TR007,28,1568
2025-01-10,Night,TR008,19,969
2025-01-10,Night,TR009,13,650
2025-01-10,Night,TR010,27,1323
2025-01-10,Night,TR011,34,1564
2025-01-10,Night,TR012,25,1350
2025-01-10,Night,TR013,31,1922
2025-01-10,Night,TR014,24,1368
2025-01-10,Night,TR015,28,1540
2025-01-10,Night,TR016,16,848
2025-01-10,Night,TR017,17,918
2025-01-10,Night,TR018,26,1274
2025-01-10,Night,TR019,17,1037
2025-01-10,Night,TR020,20,960
2025-01-11,Day,TR001,28,1652
2025-01-11,Day,TR002,31,1860
2025-01-11,Day,TR003,34,1904
2025-01-11,Day,TR004,18,1116
2025-01-11,Day,TR005,18,900
2025-01-11,Day,TR006,31,1922
2025-01-11,Day,TR007,19,1121
2025-01-11,Day,TR008,33,1980
2025-01-11,Day,TR009,12,696
2025-01-11,Day,TR010,15,915
2025-01-11,Day,TR011,13,832
2025-01-11,Day,TR012,16,848
2025-01-11,Day,TR013,17,1037
2025-01-11,Day,TR014,21,1239
2025-01-11,Day,TR015,13,702
2025-01-11,Day,TR016,32,2016
2025-01-11,Day,TR017,16,832
2025-01-11,Day,TR018,21,1176
2025-01-11,Day,TR019,24,1128
2025-01-11,Day,TR020,29,1421
2025-01-11,Night,TR001,19,1159
2025-01-11,Night,TR002,27,1404
2025-01-11,Night,TR003,32,1664
2025-01-11,Night,TR004,25,1225
2025-01-11,Night,TR005,16,864
2025-01-11,Night,TR006,24,1464
2025-01-11,Night,TR007,20,1240
2025-01-11,Night,TR008,25,1150
2025-01-11,Night,TR009,28,1568
2025-01-11,Night,TR010,20,1080
2025-01-11,Night,TR011,18,1026
2025-01-11,Night,TR012,25,1325
2025-01-11,Night,TR013,18,936
2025-01-11,Night,TR014,23,1242
2025-01-11,Night,TR015,19,1064
2025-01-11,Night,TR016,17,935
2025-01-11,Night,TR017,14,756
2025-01-11,Night,TR018,30,1830
2025-01-11,Night,TR019,27,1593
2025-01-11,Night,TR020,13,663
2025-01-12,Day,TR001,27,1647
2025-01-12,Day,TR002,25,1550
2025-01-12,Day,TR003,18,864
2025-01-12,Day,TR004,13,728
2025-01-12,Day,TR005,27,1350
2025-01-12,Day,TR006,30,1770
2025-01-12,Day,TR007,20,980
2025-01-12,Day,TR008,29,1682
2025-01-12,Day,TR009,15,750
2025-01-12,Day,TR010,23,1265
2025-01-12,Day,TR011,15,945
2025-01-12,Day,TR012,20,1040
2025-01-12,Day,TR013,13,806
2025-01-12,Day,TR014,17,1088
2025-01-12,Day,TR015,23,1426
2025-01-12,Day,TR016,16,768
2025-01-12,Day,TR017,30,1830
2025-01-12,Day,TR018,24,1080
2025-01-12,Day,TR019,33,1716
2025-01-12,Day,TR020,33,2046
2025-01-12,Night,TR001,31,1798
2025-01-12,Night,TR002,27,1485
2025-01-12,Night,TR003,12,624
2025-01-12,Night,TR004,28,1708
2025-01-12,Night,TR005,24,1416
2025-01-12,Night,TR006,12,648
2025-01-12,Night,TR007,23,1426
2025-01-12,Night,TR008,19,931
2025-01-12,Night,TR009,20,960
2025-01-12,Night,TR010,24,1368
2025-01-12,Night,TR011,30,1920
2025-01-12,Night,TR012,13,637
2025-01-12,Night,TR013,18,882
2025-01-12,Night,TR014,31,1457
2025-01-12,Night,TR015,12,744
2025-01-12,Night,TR016,34,1666
2025-01-12,Night,TR017,19,1045
2025-01-12,Night,TR018,24,1536
2025-01-12,Night,TR019,21,945
2025-01-12,Night,TR020,21,1176
2025-01-13,Day,TR001,23,1265
2025-01-13,Day,TR002,33,2013
2025-01-13,Day,TR003,17,884
2025-01-13,Day,TR004,27,1431
2025-01-13,Day,TR005,21,1008
2025-01-13,Day,TR006,17,1003
2025-01-13,Day,TR007,31,1860
2025-01-13,Day,TR008,19,893
2025-01-13,Day,TR009,15,780
2025-01-13,Day,TR010,23,1426
2025-01-13,Day,TR011,32,1440
2025-01-13,Day,TR012,28,1400
2025-01-13,Day,TR013,16,896
2025-01-13,Day,TR014,12,612
2025-01-13,Day,TR015,24,1200
2025-01-13,Day,TR016,25,1350
2025-01-13,Day,TR017,30,1440
2025-01-13,Day,TR018,13,715
2025-01-13,Day,TR019,17,1003
2025-01-13,Day,TR020,14,784
2025-01-13,Night,TR001,34,1564
2025-01-13,Night,TR002,18,1098
2025-01-13,Night,TR003,24,1152
2025-01-13,Night,TR004,16,960
2025-01-13,Night,TR005,31,1612
2025-01-13,Night,TR006,22,1320
2025-01-13,Night,TR007,16,784
2025-01-13,Night,TR008,29,1392
2025-01-13,Night,TR009,29,1566
2025-01-13,Night,TR010,34,1530
2025-01-13,Night,TR011,33,1617
2025-01-13,Night,TR012,12,708
2025-01-13,Night,TR013,24,1464
2025-01-13,Night,TR014,14,644
2025-01-13,Night,TR015,25,1550
2025-01-13,Night,TR016,21,1260
2025-01-13,Night,TR017,32,1984
2025-01-13,Night,TR018,23,1334
2025-01-13,Night,TR019,24,1392
2025-01-13,Night,TR020,25,1375
2025-01-14,Day,TR001,22,1276
2025-01-14,Day,TR002,29,1827
2025-01-14,Day,TR003,26,1222
2025-01-14,Day,TR004,25,1275
2025-01-14,Day,TR005,12,552
2025-01-14,Day,TR006,25,1575
2025-01-14,Day,TR007,23,1219
2025-01-14,Day,TR008,14,812
2025-01-14,Day,TR009,13,793
2025-01-14,Day,TR010,30,1920
2025-01-14,Day,TR011,18,864
2025-01-14,Day,TR012,18,1080
2025-01-14,Day,TR013,17,1054
2025-01-14,Day,TR014,15,675
2025-01-14,Day,TR015,17,1020
2025-01-14,Day,TR016,25,1300
2025-01-14,Day,TR017,27,1539
2025-01-14,Day,TR018,24,1320
2025-01-14,Day,TR019,14,700
2025-01-14,Day,TR020,24,1128
2025-01-14,Night,TR001,22,1034
2025-01-14,Night,TR002,30,1410
2025-01-14,Night,TR003,14,798
2025-01-14,Night,TR004,17,884
2025-01-14,Night,TR005,19,931
2025-01-14,Night,TR006,29,1682
2025-01-14,Night,TR007,17,986
2025-01-14,Night,TR008,28,1540
2025-01-14,Night,TR009,25,1575
2025-01-14,Night,TR010,22,1144
2025-01-14,Night,TR011,24,1464
2025-01-14,Night,TR012,28,1288
2025-01-14,Night,TR013,22,1298
2025-01-14,Night,TR014,17,1088
2025-01-14,Night,TR015,30,1830
2025-01-14,Night,TR016,13,728
2025-01-14,Night,TR017,24,1368
2025-01-14,Night,TR018,31,1612
2025-01-14,Night,TR019,24,1392
2025-01-14,Night,TR020,29,1740
2025-01-15,Day,TR001,19,1216
2025-01-15,Day,TR002,12,648
2025-01-15,Day,TR003,26,1196
2025-01-15,Day,TR004,22,1232
2025-01-15,Day,TR005,25,1175
2025-01-15,Day,TR006,18,882
2025-01-15,Day,TR007,26,1326
2025-01-15,Day,TR008,25,1475
2025-01-15,Day,TR009,30,1440
2025-01-15,Day,TR010,32,1536
2025-01-15,Day,TR011,12,540
2025-01-15,Day,TR012,16,992
2025-01-15,Day,TR013,16,928
2025-01-15,Day,TR014,21,945
2025-01-15,Day,TR015,22,990
2025-01-15,Day,TR016,22,1232
2025-01-15,Day,TR017,23,1150
2025-01-15,Day,TR018,29,1624
2025-01-15,Day,TR019,17,901
2025-01-15,Day,TR020,14,882
2025-01-15,Night,TR001,29,1450
2025-01-15,Night,TR002,27,1566
2025-01-15,Night,TR003,26,1196
2025-01-15,Night,TR004,32,2048
2025-01-15,Night,TR005,34,2176
2025-01-15,Night,TR006,33,1947
2025-01-15,Night,TR007,13,702
2025-01-15,Night,TR008,17,833
2025-01-15,Night,TR009,31,1891
2025-01-15,Night,TR010,24,1416
2025-01-15,Night,TR011,14,686
2025-01-15,Night,TR012,31,1674
2025-01-15,Night,TR013,24,1296
2025-01-15,Night,TR014,16,976
2025-01-15,Night,TR015,29,1682
2025-01-15,Night,TR016,20,1140
2025-01-15,Night,TR017,33,1881
2025-01-15,Night,TR018,23,1150
2025-01-15,Night,TR019,24,1248
2025-01-15,Night,TR020,26,1170
2025-01-16,Day,TR001,16,960
2025-01-16,Day,TR002,20,1060
2025-01-16,Day,TR003,24,1272
2025-01-16,Day,TR004,29,1421
2025-01-16,Day,TR005,29,1421
2025-01-16,Day,TR006,20,1120
2025-01-16,Day,TR007,32,1568
2025-01-16,Day,TR008,25,1150
2025-01-16,Day,TR009,13,780
2025-01-16,Day,TR010,28,1456
2025-01-16,Day,TR011,26,1352
2025-01-16,Day,TR012,18,954
2025-01-16,Day,TR013,19,1159
2025-01-16,Day,TR014,21,1071
2025-01-16,Day,TR015,24,1440
2025-01-16,Day,TR016,18,1134
2025-01-16,Day,TR017,22,1276
2025-01-16,Day,TR018,34,1802
2025-01-16,Day,TR019,16,944
2025-01-16,Day,TR020,12,648
2025-01-16,Night,TR001,34,1802
2025-01-16,Night,TR002,27,1485
2025-01-16,Night,TR003,16,816
2025-01-16,Night,TR004,24,1128
2025-01-16,Night,TR005,21,1113
2025-01-16,Night,TR006,31,1457
2025-01-16,Night,TR007,31,1643
2025-01-16,Night,TR008,26,1456
2025-01-16,Night,TR009,18,1134
2025-01-16,Night,TR010,17,765
2025-01-16,Night,TR011,29,1653
2025-01-16,Night,TR012,32,1728
2025-01-16,Night,TR013,12,540
2025-01-16,Night,TR014,21,1029
2025-01-16,Night,TR015,33,1551
2025-01-16,Night,TR016,32,1568
2025-01-16,Night,TR017,14,700
2025-01-16,Night,TR018,15,795
2025-01-16,Night,TR019,19,1045
2025-01-16,Night,TR020,24,1080
2025-01-17,Day,TR001,14,672
2025-01-17,Day,TR002,16,736
2025-01-17,Day,TR003,19,1045
2025-01-17,Day,TR004,19,969
2025-01-17,Day,TR005,22,1210
2025-01-17,Day,TR006,19,931
2025-01-17,Day,TR007,21,945
2025-01-17,Day,TR008,23,1449
2025-01-17,Day,TR009,21,987
2025-01-17,Day,TR010,28,1316
2025-01-17,Day,TR011,16,752
2025-01-17,Day,TR012,32,2048
2025-01-17,Day,TR013,25,1425
2025-01-17,Day,TR014,26,1482
2025-01-17,Day,TR015,24,1536
2025-01-17,Day,TR016,28,1288
2025-01-17,Day,TR017,21,1344
2025-01-17,Day,TR018,21,1029
2025-01-17,Day,TR019,31,1767
2025-01-17,Day,TR020,24,1272
2025-01-17,Night,TR001,14,728
2025-01-17,Night,TR002,22,1386
2025-01-17,Night,TR003,19,893
2025-01-17,Night,TR004,21,1344
2025-01-17,Night,TR005,23,1196
2025-01-17,Night,TR006,27,1539
2025-01-17,Night,TR007,18,1152
2025-01-17,Night,TR008,25,1150
2025-01-17,Night,TR009,21,1323
2025-01-17,Night,TR010,21,1176
2025-01-17,Night,TR011,26,1534
2025-01-17,Night,TR012,32,1504
2025-01-17,Night,TR013,23,1265
2025-01-17,Night,TR014,15,870
2025-01-17,Night,TR015,14,756
2025-01-17,Night,TR016,19,912
2025-01-17,Night,TR017,30,1470
2025-01-17,Night,TR018,17,1054
2025-01-17,Night,TR019,32,1440
2025-01-17,Night,TR020,18,1062
2025-01-18,Day,TR001,29,1856
2025-01-18,Day,TR002,24,1080
2025-01-18,Day,TR003,32,1536
2025-01-18,Day,TR004,14,812
2025-01-18,Day,TR005,25,1150
2025-01-18,Day,TR006,15,840
2025-01-18,Day,TR007,17,986
2025-01-18,Day,TR008,21,1176
2025-01-18,Day,TR009,22,1144
2025-01-18,Day,TR010,19,1102
2025-01-18,Day,TR011,23,1288
2025-01-18,Day,TR012,25,1225
2025-01-18,Day,TR013,33,1848
2025-01-18,Day,TR014,28,1736
2025-01-18,Day,TR015,33,1914
2025-01-18,Day,TR016,30,1620
2025-01-18,Day,TR017,28,1428
2025-01-18,Day,TR018,28,1288
2025-01-18,Day,TR019,33,1617
2025-01-18,Day,TR020,27,1215
2025-01-18,Night,TR001,15,960
2025-01-18,Night,TR002,31,1519
2025-01-18,Night,TR003,15,915
2025-01-18,Night,TR004,34,1632
2025-01-18,Night,TR005,27,1350
2025-01-18,Night,TR006,29,1537
2025-01-18,Night,TR007,14,714
2025-01-18,Night,TR008,24,1440
2025-01-18,Night,TR009,12,768
2025-01-18,Night,TR010,26,1612
2025-01-18,Night,TR011,33,1584
2025-01-18,Night,TR012,14,840
2025-01-18,Night,TR013,16,752
2025-01-18,Night,TR014,22,1386
2025-01-18,Night,TR015,30,1650
2025-01-18,Night,TR016,16,816
2025-01-18,Night,TR017,27,1296
2025-01-18,Night,TR018,24,1080
2025-01-18,Night,TR019,19,931
2025-01-18,Night,TR020,27,1701
2025-01-19,Day,TR001,15,900
2025-01-19,Day,TR002,27,1728
2025-01-19,Day,TR003,32,1504
2025-01-19,Day,TR004,29,1624
2025-01-19,Day,TR005,14,700
2025-01-19,Day,TR006,33,1815
2025-01-19,Day,TR007,19,969
2025-01-19,Day,TR008,31,1550
2025-01-19,Day,TR009,15,840
2025-01-19,Day,TR010,34,1632
2025-01-19,Day,TR011,17,918
2025-01-19,Day,TR012,16,928
2025-01-19,Day,TR013,17,799
2025-01-19,Day,TR014,18,1134
2025-01-19,Day,TR015,33,1815
2025-01-19,Day,TR016,21,1281
2025-01-19,Day,TR017,16,928
2025-01-19,Day,TR018,27,1593
2025-01-19,Day,TR019,17,1003
2025-01-19,Day,TR020,26,1612
2025-01-19,Night,TR001,16,912
2025-01-19,Night,TR002,31,1550
2025-01-19,Night,TR003,29,1334
2025-01-19,Night,TR004,28,1596
2025-01-19,Night,TR005,16,736
2025-01-19,Night,TR006,29,1421
