Date,Equipment_ID,Reason,Downtime_Hours
2025-01-08,TR001,Refueling,7.0
2025-01-08,TR009,Refueling,4.7
2025-01-08,TR012,Weather,4.9
2025-01-08,TR015,Weather,6.9
2025-01-08,TR019,Refueling,3.9
2025-01-08,EX001,Refueling,6.4
2025-01-08,EX002,Weather,8.0
2025-01-08,EX003,Breakdown,1.1
2025-01-09,TR001,Weather,5.8
2025-01-09,TR002,Operator Delay,4.6
2025-01-09,TR004,Weather,7.3
2025-01-09,TR005,Maintenance,2.2
2025-01-09,TR012,Refueling,2.2
2025-01-09,TR016,Breakdown,3.7
2025-01-09,TR017,Maintenance,6.4
2025-01-09,EX005,Maintenance,3.8
2025-01-09,DR002,Weather,4.8
2025-01-09,DR003,Weather,8.0
2025-01-10,TR001,Breakdown,4.2
2025-01-10,TR002,Refueling,1.3
2025-01-10,TR007,Breakdown,7.0
2025-01-10,TR013,Operator Delay,1.4
2025-01-10,TR017,Weather,4.0
2025-01-10,TR019,Breakdown,0.7
2025-01-10,EX001,Breakdown,6.0
2025-01-10,EX002,Weather,3.8
2025-01-10,EX003,Refueling,7.3
2025-01-10,EX005,Maintenance,1.5
2025-01-10,DR001,Breakdown,6.1
2025-01-10,DR003,Refueling,7.5
2025-01-11,TR002,Weather,3.7
2025-01-11,TR005,Weather,5.5
2025-01-11,TR009,Operator Delay,6.5
2025-01-11,TR015,Weather,7.3
2025-01-11,TR020,Maintenance,5.0
2025-01-11,EX005,Maintenance,3.1
2025-01-12,TR002,Breakdown,5.7
2025-01-12,TR003,Refueling,5.8
2025-01-12,TR004,Weather,2.8
2025-01-12,TR005,Operator Delay,5.2
2025-01-12,TR007,Operator Delay,2.5
2025-01-12,TR010,Refueling,8.0
2025-01-12,TR012,Maintenance,5.0
2025-01-12,TR013,Weather,2.8
2025-01-12,TR016,Operator Delay,2.2
2025-01-12,TR017,Weather,5.7
2025-01-12,TR018,Refueling,2.7
2025-01-12,EX004,Maintenance,3.0
2025-01-12,EX005,Weather,2.6
2025-01-12,DR001,Refueling,4.5
2025-01-13,TR002,Weather,6.0
2025-01-13,TR006,Operator Delay,7.9
2025-01-13,TR008,Operator Delay,4.7
2025-01-13,TR009,Weather,6.0
2025-01-13,TR011,Breakdown,7.6
2025-01-13,TR012,Refueling,3.8
2025-01-13,TR016,Maintenance,5.0
2025-01-13,TR017,Operator Delay,5.9
2025-01-13,TR018,Weather,2.5
2025-01-13,TR019,Maintenance,0.8
2025-01-13,EX001,Breakdown,1.7
2025-01-13,EX003,Breakdown,5.9
2025-01-13,EX004,Operator Delay,3.8
2025-01-13,DR003,Breakdown,2.0
2025-01-14,TR002,Weather,4.9
2025-01-14,TR003,Operator Delay,2.9
2025-01-14,TR007,Refueling,2.0
2025-01-14,TR008,Refueling,4.5
2025-01-14,TR020,Operator Delay,5.5
2025-01-14,EX003,Refueling,3.7
2025-01-14,EX004,Weather,5.5
2025-01-14,DR001,Refueling,8.0
2025-01-15,TR005,Operator Delay,6.9
2025-01-15,TR008,Maintenance,3.5
2025-01-15,TR011,Breakdown,0.7
2025-01-15,TR012,Breakdown,6.8
2025-01-15,TR014,Weather,6.5
2025-01-15,TR018,Operator Delay,7.2
2025-01-15,TR019,Refueling,5.1
2025-01-15,EX001,Refueling,3.4
2025-01-15,EX005,Weather,3.4
2025-01-15,DR001,Operator Delay,4.4
2025-01-16,TR001,Breakdown,7.8
2025-01-16,TR005,Refueling,5.8
2025-01-16,TR008,Refueling,6.3
2025-01-16,TR010,Operator Delay,1.4
2025-01-16,TR016,Refueling,6.9
2025-01-16,TR018,Refueling,7.3
2025-01-16,DR001,Maintenance,6.8
2025-01-16,DR003,Refueling,2.4
2025-01-17,TR001,Maintenance,6.2
2025-01-17,TR003,Refueling,1.5
2025-01-17,TR005,Weather,7.7
2025-01-17,TR008,Maintenance,3.0
2025-01-17,TR013,Maintenance,0.9
2025-01-17,TR014,Weather,4.4
2025-01-17,TR015,Operator Delay,1.6
2025-01-17,TR016,Maintenance,6.9
2025-01-17,TR018,Operator Delay,6.9
2025-01-17,TR019,Maintenance,6.1
2025-01-17,TR020,Operator Delay,2.5
2025-01-17,EX003,Operator Delay,3.5
2025-01-17,DR002,Weather,2.2
2025-01-18,TR002,Weather,4.9
2025-01-18,TR004,Operator Delay,4.0
2025-01-18,TR013,Operator Delay,4.6
2025-01-18,TR015,Refueling,4.3
2025-01-18,TR016,Breakdown,3.4
2025-01-18,EX003,Refueling,2.7
2025-01-18,EX004,Maintenance,6.8
2025-01-19,TR002,Refueling,5.7
2025-01-19,TR004,Refueling,6.5
2025-01-19,TR014,Refueling,4.5
2025-01-19,TR015,Refueling,5.6
2025-01-19,TR019,Refueling,6.2
2025-01-19,TR020,Breakdown,5.2
2025-01-19,EX002,Weather,3.4
2025-01-19,DR001,Maintenance,5.0
2025-01-20,TR003,Weather,3.7
2025-01-20,TR004,Refueling,7.4
2025-01-20,TR006,Weather,5.9
2025-01-20,TR009,Breakdown,1.7
2025-01-20,TR018,Maintenance,1.7
2025-01-20,EX004,Operator Delay,7.2
2025-01-20,DR002,Breakdown,4.4
2025-01-21,TR005,Weather,4.9
2025-01-21,TR006,Maintenance,6.2
2025-01-21,TR010,Maintenance,1.5
2025-01-21,TR011,Maintenance,4.4
2025-01-21,TR013,Maintenance,1.9
2025-01-21,TR014,Refueling,2.8
2025-01-21,TR015,Operator Delay,3.7
2025-01-21,TR016,Maintenance,6.7
2025-01-21,TR017,Maintenance,1.8
2025-01-21,TR018,Breakdown,7.3
2025-01-21,EX002,Breakdown,3.5
2025-01-21,EX003,Refueling,6.1
2025-01-21,EX004,Refueling,6.2
2025-01-21,EX005,Weather,1.3
2025-01-21,DR001,Maintenance,2.2
2025-01-21,DR003,Operator Delay,1.2
2025-01-22,TR001,Maintenance,2.1
2025-01-22,TR002,Weather,1.9
2025-01-22,TR003,Maintenance,5.4
2025-01-22,TR005,Operator Delay,5.4
2025-01-22,TR010,Operator Delay,4.1
2025-01-22,EX001,Breakdown,6.7
2025-01-22,EX003,Refueling,2.7
2025-01-22,EX004,Maintenance,5.5
2025-01-23,TR006,Maintenance,5.1
2025-01-23,TR008,Maintenance,6.9
2025-01-23,TR010,Refueling,0.6
2025-01-23,TR014,Weather,2.1
2025-01-23,TR017,Breakdown,4.3
2025-01-23,TR020,Weather,7.5
2025-01-23,EX001,Weather,1.7
2025-01-23,EX003,Refueling,5.8
2025-01-23,EX004,Refueling,7.0
2025-01-23,DR002,Refueling,7.2
2025-01-23,DR003,Operator Delay,3.3
2025-01-24,TR003,Operator Delay,5.7
2025-01-24,TR005,Breakdown,2.1
2025-01-24,TR008,Operator Delay,4.7
2025-01-24,TR009,Weather,2.2
2025-01-24,TR012,Weather,5.2
2025-01-24,TR017,Refueling,4.5
2025-01-24,TR020,Weather,7.8
2025-01-24,EX001,Refueling,5.2
2025-01-24,DR001,Breakdown,4.2
2025-01-24,DR002,Weather,6.4
2025-01-25,TR006,Breakdown,7.5
2025-01-25,TR010,Refueling,1.9
2025-01-25,TR011,Breakdown,3.0
2025-01-25,TR014,Weather,3.4
2025-01-25,TR015,Maintenance,2.5
2025-01-25,TR016,Weather,1.0
2025-01-25,TR018,Maintenance,6.6
2025-01-25,TR020,Operator Delay,5.1
2025-01-25,EX001,Breakdown,6.2
2025-01-25,EX003,Refueling,5.8
2025-01-25,EX005,Weather,3.0
2025-01-25,DR003,Operator Delay,2.4
2025-01-26,TR003,Operator Delay,5.4
2025-01-26,TR004,Maintenance,0.9
2025-01-26,TR008,Maintenance,4.6
2025-01-26,TR011,Weather,3.6
2025-01-26,TR013,Maintenance,3.7
2025-01-26,TR014,Refueling,1.2
2025-01-26,TR015,Refueling,7.5
2025-01-26,TR017,Refueling,3.9
2025-01-26,TR019,Weather,3.4
2025-01-26,EX003,Breakdown,0.7
2025-01-26,DR001,Operator Delay,5.5
2025-01-26,DR002,Refueling,2.7
2025-01-27,TR002,Operator Delay,2.0
2025-01-27,TR008,Weather,7.1
2025-01-27,TR009,Maintenance,7.9
2025-01-27,TR013,Maintenance,5.4
2025-01-27,TR014,Breakdown,3.6
2025-01-27,TR019,Maintenance,0.8
2025-01-27,EX001,Maintenance,3.3
2025-01-27,DR002,Operator Delay,5.6
2025-01-28,TR001,Breakdown,7.4
2025-01-28,TR002,Weather,3.6
2025-01-28,TR003,Operator Delay,7.8
2025-01-28,TR004,Weather,6.7
2025-01-28,TR006,Weather,7.9
2025-01-28,TR009,Operator Delay,1.4
2025-01-28,TR010,Maintenance,3.4
2025-01-28,TR013,Operator Delay,7.3
2025-01-28,TR014,Maintenance,6.6
2025-01-28,TR015,Maintenance,2.2
2025-01-28,TR019,Operator Delay,2.3
2025-01-28,TR020,Maintenance,7.8
2025-01-28,EX001,Maintenance,0.9
2025-01-28,EX003,Operator Delay,1.0
2025-01-28,EX004,Weather,5.3
2025-01-28,DR001,Refueling,5.9
2025-01-29,TR006,Maintenance,2.0
2025-01-29,TR007,Maintenance,3.2
2025-01-29,TR012,Breakdown,5.5
2025-01-29,TR016,Breakdown,4.8
2025-01-29,TR020,Refueling,0.8
2025-01-29,EX005,Maintenance,6.7
2025-01-29,DR001,Breakdown,2.5
2025-01-30,TR001,Operator Delay,4.6
2025-01-30,TR003,Maintenance,5.6
2025-01-30,TR004,Maintenance,0.7
2025-01-30,TR007,Breakdown,7.2
2025-01-30,TR010,Refueling,1.8
2025-01-30,TR017,Refueling,5.6
2025-01-30,EX001,Weather,2.2
2025-01-30,EX002,Operator Delay,3.1
2025-01-30,DR003,Maintenance,3.1
2025-01-31,TR001,Maintenance,5.0
2025-01-31,TR003,Breakdown,3.5
2025-01-31,TR004,Weather,7.1
2025-01-31,TR009,Breakdown,5.8
2025-01-31,TR014,Operator Delay,2.4
2025-01-31,TR015,Operator Delay,3.5
2025-01-31,TR020,Operator Delay,1.3
2025-01-31,EX003,Weather,7.3
2025-02-01,TR001,Maintenance,5.5
2025-02-01,TR004,Refueling,6.3
2025-02-01,TR007,Maintenance,7.3
2025-02-01,TR012,Operator Delay,4.7
2025-02-01,TR014,Refueling,1.6
2025-02-01,TR018,Operator Delay,1.8
2025-02-01,EX001,Weather,7.3
2025-02-01,EX003,Operator Delay,2.3
2025-02-01,DR002,Refueling,7.9
2025-02-01,DR003,Weather,7.8
2025-02-02,TR006,Breakdown,0.7
2025-02-02,TR007,Operator Delay,4.6
2025-02-02,TR010,Maintenance,2.3
2025-02-02,TR011,Breakdown,2.5
2025-02-02,TR013,Operator Delay,2.3
2025-02-02,TR015,Refueling,0.6
2025-02-02,TR017,Refueling,3.6
2025-02-02,TR020,Maintenance,2.6
2025-02-02,EX003,Operator Delay,4.1
2025-02-02,EX005,Maintenance,6.5
2025-02-02,DR002,Operator Delay,4.8
2025-02-02,DR003,Operator Delay,2.6
2025-02-03,TR001,Breakdown,6.1
2025-02-03,TR006,Maintenance,6.5
2025-02-03,TR007,Breakdown,5.5
2025-02-03,TR009,Maintenance,5.1
2025-02-03,TR010,Maintenance,6.0
2025-02-03,TR012,Operator Delay,4.7
2025-02-03,TR013,Refueling,7.9
2025-02-03,TR014,Weather,5.0
2025-02-03,TR015,Maintenance,4.4
2025-02-03,EX001,Weather,7.9
2025-02-03,EX002,Weather,3.8
2025-02-03,EX003,Breakdown,6.2
2025-02-03,EX004,Refueling,2.7
2025-02-03,EX005,Weather,7.1
2025-02-03,DR002,Weather,6.9
2025-02-04,TR001,Operator Delay,8.0
2025-02-04,TR003,Operator Delay,1.4
2025-02-04,TR012,Breakdown,1.5
2025-02-04,TR015,Breakdown,5.6
2025-02-04,EX002,Maintenance,3.7
2025-02-04,DR001,Maintenance,5.1
2025-02-04,DR002,Refueling,3.4
2025-02-05,TR009,Maintenance,6.0
2025-02-05,TR012,Weather,4.9
2025-02-05,EX004,Operator Delay,4.9
2025-02-05,EX005,Operator Delay,2.5
2025-02-06,TR003,Maintenance,3.3
2025-02-06,TR004,Operator Delay,7.6
2025-02-06,TR006,Maintenance,7.0
2025-02-06,TR007,Breakdown,7.5
2025-02-06,TR008,Breakdown,0.8
2025-02-06,TR010,Weather,3.7
2025-02-06,TR012,Maintenance,2.0
2025-02-06,TR014,Operator Delay,5.6
2025-02-06,TR018,Refueling,0.9
2025-02-06,TR020,Breakdown,6.5
2025-02-06,EX002,Maintenance,4.4
2025-02-06,EX005,Maintenance,7.2
2025-02-06,DR002,Maintenance,6.2
2025-02-06,DR003,Breakdown,7.1
2025-02-07,TR007,Refueling,4.9
2025-02-07,TR010,Operator Delay,3.5
2025-02-07,TR011,Refueling,4.0
2025-02-07,TR016,Weather,5.0
2025-02-07,TR017,Refueling,4.2
2025-02-07,TR018,Refueling,2.1
2025-02-07,TR020,Breakdown,7.0
2025-02-07,EX001,Maintenance,5.7
2025-02-07,EX003,Operator Delay,1.3
2025-02-07,DR003,Breakdown,1.5
2025-02-08,TR001,Breakdown,3.6
2025-02-08,TR003,Operator Delay,6.3
2025-02-08,TR006,Operator Delay,2.4
2025-02-08,TR007,Operator Delay,5.1
2025-02-08,TR010,Operator Delay,5.3
2025-02-08,TR014,Maintenance,4.0
2025-02-08,TR016,Breakdown,0.6
2025-02-08,TR017,Weather,6.2
2025-02-08,TR019,Operator Delay,1.1
2025-02-08,EX002,Weather,3.9
2025-02-08,EX005,Operator Delay,0.7
2025-02-08,DR001,Weather,2.2
2025-02-08,DR003,Breakdown,3.7
2025-02-09,TR002,Refueling,3.0
2025-02-09,TR009,Operator Delay,5.0
2025-02-09,TR014,Operator Delay,1.3
2025-02-09,TR015,Refueling,5.4
2025-02-09,TR017,Breakdown,7.3
2025-02-09,EX001,Maintenance,3.6
2025-02-09,EX002,Weather,6.2
2025-02-09,EX004,Operator Delay,3.9
2025-02-09,EX005,Operator Delay,2.2
2025-02-09,DR001,Weather,3.3
2025-02-09,DR002,Weather,6.6
2025-02-10,TR004,Weather,2.8
2025-02-10,TR008,Weather,1.5
2025-02-10,TR010,Operator Delay,1.0
2025-02-10,TR012,Refueling,2.4
2025-02-10,TR013,Maintenance,1.0
2025-02-10,TR014,Breakdown,4.9
2025-02-10,TR016,Refueling,6.3
2025-02-10,DR002,Operator Delay,7.9
2025-02-11,TR001,Refueling,7.1
2025-02-11,TR002,Breakdown,5.7
2025-02-11,TR003,Weather,6.1
2025-02-11,TR006,Breakdown,2.3
2025-02-11,TR007,Breakdown,3.6
2025-02-11,TR011,Refueling,7.8
2025-02-11,TR012,Breakdown,3.6
2025-02-11,TR013,Refueling,3.6
2025-02-11,TR017,Maintenance,3.5
2025-02-11,EX003,Weather,0.9
2025-02-11,DR003,Breakdown,5.0
2025-02-12,TR006,Weather,6.8
2025-02-12,TR007,Weather,3.6
2025-02-12,TR008,Operator Delay,5.2
2025-02-12,TR012,Maintenance,5.8
2025-02-12,TR015,Maintenance,2.8
2025-02-12,EX003,Refueling,2.3
2025-02-12,EX004,Operator Delay,1.1
2025-02-12,EX005,Weather,1.5
2025-02-12,DR001,Maintenance,1.6
2025-02-12,DR002,Operator Delay,6.7
2025-02-13,TR001,Maintenance,3.3
2025-02-13,TR003,Weather,3.0
2025-02-13,TR007,Maintenance,0.9
2025-02-13,TR013,Breakdown,1.7
2025-02-13,TR016,Operator Delay,0.9
2025-02-13,TR019,Operator Delay,3.3
2025-02-13,EX005,Breakdown,1.5
2025-02-13,DR001,Weather,4.2
2025-02-13,DR002,Refueling,4.5
2025-02-13,DR003,Weather,5.5
2025-02-14,TR004,Weather,5.5
2025-02-14,TR006,Refueling,7.6
2025-02-14,TR008,Operator Delay,2.5
2025-02-14,TR011,Maintenance,2.3
2025-02-14,TR019,Maintenance,0.7
2025-02-14,EX002,Breakdown,5.4
2025-02-14,EX003,Weather,4.4
2025-02-14,EX004,Maintenance,4.7
2025-02-14,DR003,Refueling,1.5
2025-02-15,TR008,Weather,6.6
2025-02-15,TR013,Operator Delay,2.8
2025-02-15,TR018,Operator Delay,7.2
2025-02-16,TR001,Weather,1.4
2025-02-16,TR007,Maintenance,3.7
2025-02-16,TR011,Refueling,2.7
2025-02-16,TR012,Refueling,6.8
2025-02-16,TR015,Refueling,0.8
2025-02-16,TR016,Operator Delay,1.7
2025-02-16,TR017,Refueling,1.9
2025-02-16,TR020,Maintenance,7.7
2025-02-16,EX001,Refueling,7.5
2025-02-16,EX004,Weather,4.9
2025-02-16,EX005,Refueling,6.2
2025-02-16,DR001,Weather,5.2
2025-02-16,DR003,Operator Delay,7.2
2025-02-17,TR001,Refueling,5.7
2025-02-17,TR002,Refueling,4.6
2025-02-17,TR005,Breakdown,1.7
2025-02-17,TR007,Breakdown,1.0
2025-02-17,TR010,Weather,1.6
2025-02-17,TR015,Operator Delay,3.5
2025-02-17,TR016,Breakdown,7.8
2025-02-17,TR019,Maintenance,7.1
2025-02-17,EX002,Operator Delay,7.2
2025-02-17,EX003,Refueling,7.6
2025-02-17,EX005,Weather,3.0
2025-02-18,TR001,Maintenance,4.6
2025-02-18,TR006,Weather,7.2
2025-02-18,TR007,Maintenance,3.8
2025-02-18,TR011,Operator Delay,5.3
2025-02-18,TR013,Operator Delay,3.2
2025-02-18,TR017,Weather,4.4
2025-02-18,TR019,Maintenance,7.5
2025-02-18,DR001,Weather,2.3
2025-02-19,TR003,Breakdown,4.1
2025-02-19,TR004,Refueling,2.6
2025-02-19,TR005,Refueling,4.3
2025-02-19,TR008,Operator Delay,0.8
2025-02-19,TR011,Operator Delay,3.8
2025-02-19,TR012,Weather,5.1
2025-02-19,TR013,Maintenance,0.9
2025-02-19,EX005,Weather,1.6
2025-02-19,DR002,Operator Delay,5.6
2025-02-20,TR001,Operator Delay,2.8
2025-02-20,TR003,Operator Delay,6.6
2025-02-20,TR005,Refueling,7.2
2025-02-20,TR006,Refueling,8.0
2025-02-20,TR007,Operator Delay,4.7
2025-02-20,TR009,Refueling,3.2
2025-02-20,TR015,Weather,1.9
2025-02-20,TR016,Breakdown,6.8
2025-02-20,TR019,Weather,0.6
2025-02-20,TR020,Refueling,6.6
2025-02-20,EX001,Weather,3.1
2025-02-20,EX003,Operator Delay,3.1
2025-02-20,DR002,Refueling,1.6
2025-02-21,TR002,Operator Delay,1.1
2025-02-21,TR008,Refueling,6.9
2025-02-21,TR012,Refueling,7.3
2025-02-21,TR013,Weather,3.3
2025-02-21,TR014,Maintenance,3.8
2025-02-21,TR016,Maintenance,3.1
2025-02-21,EX002,Maintenance,4.3
2025-02-21,EX004,Operator Delay,1.2
2025-02-21,DR001,Refueling,6.0
2025-02-21,DR002,Operator Delay,6.7
2025-02-21,DR003,Refueling,0.7
2025-02-22,TR002,Weather,7.8
2025-02-22,TR004,Breakdown,4.2
2025-02-22,TR005,Refueling,0.7
2025-02-22,TR007,Refueling,7.9
2025-02-22,TR008,Refueling,4.1
2025-02-22,TR010,Operator Delay,6.9
2025-02-22,TR012,Maintenance,7.7
2025-02-22,TR016,Maintenance,1.8
2025-02-22,EX003,Breakdown,0.6
2025-02-22,EX004,Weather,3.0
2025-02-22,DR002,Maintenance,5.8
2025-02-23,TR001,Operator Delay,2.8
2025-02-23,TR002,Refueling,1.8
2025-02-23,TR005,Maintenance,2.3
2025-02-23,TR015,Operator Delay,1.2
2025-02-23,TR017,Weather,5.2
2025-02-23,EX001,Operator Delay,4.1
2025-02-23,DR003,Maintenance,3.6
2025-02-24,TR003,Operator Delay,1.9
2025-02-24,TR013,Weather,1.7
2025-02-24,TR014,Weather,7.5
2025-02-24,EX001,Operator Delay,6.5
2025-02-24,EX003,Operator Delay,5.0
2025-02-24,DR001,Operator Delay,6.6
2025-02-24,DR002,Breakdown,4.2
2025-02-25,TR002,Maintenance,6.0
2025-02-25,TR005,Weather,4.2
2025-02-25,TR007,Breakdown,4.3
2025-02-25,TR013,Breakdown,5.1
2025-02-25,TR014,Maintenance,1.7
2025-02-25,TR015,Weather,6.8
2025-02-25,EX001,Weather,3.9
2025-02-25,EX002,Operator Delay,7.6
2025-02-25,EX003,Weather,1.7
2025-02-25,DR002,Weather,3.5
2025-02-26,TR003,Weather,7.7
2025-02-26,TR004,Weather,6.7
2025-02-26,TR007,Breakdown,0.8
2025-02-26,TR008,Refueling,2.2
2025-02-26,TR017,Operator Delay,5.0
2025-02-26,TR018,Weather,8.0
2025-02-26,TR020,Operator Delay,1.5
2025-02-26,EX002,Breakdown,6.4
2025-02-26,DR001,Weather,5.3
2025-02-26,DR003,Maintenance,3.3
2025-02-27,TR001,Operator Delay,4.1
2025-02-27,TR002,Breakdown,0.9
2025-02-27,TR005,Operator Delay,1.5
2025-02-27,TR010,Operator Delay,5.4
2025-02-27,TR016,Weather,4.0
2025-02-27,TR017,Operator Delay,2.3
2025-02-27,TR019,Refueling,2.0
2025-02-27,TR020,Breakdown,2.4
2025-02-27,DR002,Operator Delay,4.3
2025-02-28,TR001,Breakdown,5.0
2025-02-28,TR003,Breakdown,7.0
2025-02-28,TR004,Maintenance,7.6
2025-02-28,TR008,Weather,1.2
2025-02-28,TR016,Breakdown,6.7
2025-02-28,TR020,Weather,4.4
2025-02-28,EX001,Weather,7.6
2025-02-28,DR001,Operator Delay,4.7
2025-02-28,DR002,Breakdown,4.0
2025-03-01,TR002,Refueling,5.2
2025-03-01,TR005,Breakdown,3.8
2025-03-01,TR006,Operator Delay,1.7
2025-03-01,TR008,Weather,2.6
2025-03-01,TR009,Operator Delay,6.3
2025-03-01,TR010,Operator Delay,2.3
2025-03-01,TR011,Maintenance,4.1
2025-03-01,TR014,Refueling,6.9
2025-03-01,TR015,Breakdown,2.1
2025-03-01,TR016,Refueling,6.0
2025-03-01,TR017,Operator Delay,0.6
2025-03-01,TR019,Weather,6.8
2025-03-01,TR020,Weather,3.3
2025-03-01,DR002,Breakdown,2.9
2025-03-02,TR007,Maintenance,6.2
2025-03-02,TR011,Maintenance,5.5
2025-03-02,TR016,Refueling,4.6
2025-03-02,TR017,Breakdown,5.9
2025-03-03,TR005,Maintenance,2.4
2025-03-03,TR007,Maintenance,1.6
2025-03-03,TR008,Weather,6.8
2025-03-03,TR011,Maintenance,0.6
2025-03-03,TR012,Maintenance,0.7
2025-03-03,TR014,Weather,4.4
2025-03-03,TR015,Operator Delay,6.8
2025-03-04,TR003,Breakdown,2.6
2025-03-04,TR007,Weather,4.0
2025-03-04,TR010,Refueling,5.4
2025-03-04,TR011,Weather,5.4
2025-03-04,TR012,Weather,7.3
2025-03-04,TR013,Maintenance,2.5
2025-03-04,TR015,Operator Delay,3.9
2025-03-04,EX003,Maintenance,7.6
2025-03-04,DR001,Breakdown,6.8
2025-03-04,DR002,Weather,4.9
2025-03-04,DR003,Operator Delay,6.9
2025-03-05,TR002,Breakdown,1.4
2025-03-05,TR004,Operator Delay,5.9
2025-03-05,TR007,Operator Delay,2.8
2025-03-05,TR009,Maintenance,5.2
2025-03-05,TR010,Maintenance,4.1
2025-03-05,TR012,Breakdown,0.6
2025-03-05,TR016,Weather,6.4
2025-03-05,TR020,Refueling,3.4
2025-03-05,EX001,Weather,4.2
2025-03-06,TR002,Maintenance,5.5
2025-03-06,TR004,Weather,2.1
2025-03-06,TR006,Maintenance,5.3
2025-03-06,TR007,Operator Delay,7.9
2025-03-06,TR009,Refueling,6.2
2025-03-06,TR011,Refueling,6.6
2025-03-06,TR012,Refueling,6.6
2025-03-06,TR015,Weather,3.0
2025-03-06,TR019,Maintenance,2.2
2025-03-06,TR020,Refueling,6.8
2025-03-06,EX005,Operator Delay,5.2
2025-03-07,TR003,Breakdown,0.7
2025-03-07,TR004,Weather,2.5
2025-03-07,TR005,Breakdown,6.9
2025-03-07,TR006,Operator Delay,6.9
2025-03-07,TR009,Refueling,0.6
2025-03-07,TR016,Weather,7.9
2025-03-07,TR020,Refueling,7.3
2025-03-07,EX005,Weather,0.5
2025-03-07,DR001,Operator Delay,1.7
2025-03-07,DR002,Weather,1.1
2025-03-08,TR008,Refueling,4.0
2025-03-08,TR014,Weather,4.7
2025-03-08,TR015,Maintenance,7.3
2025-03-08,TR016,Maintenance,5.5
2025-03-08,TR017,Breakdown,4.7
2025-03-08,TR018,Refueling,6.0
2025-03-08,EX001,Breakdown,4.6
2025-03-08,EX003,Maintenance,4.6
2025-03-08,DR002,Operator Delay,6.1
2025-03-09,TR003,Maintenance,6.5
2025-03-09,TR004,Refueling,5.6
2025-03-09,TR008,Breakdown,2.1
2025-03-09,TR010,Breakdown,5.6
2025-03-09,TR013,Operator Delay,7.9
2025-03-09,TR015,Breakdown,0.7
2025-03-09,EX001,Maintenance,2.4
2025-03-09,EX002,Refueling,2.8
2025-03-09,EX003,Refueling,5.9
2025-03-09,DR001,Maintenance,3.5
2025-03-10,TR001,Weather,1.2
2025-03-10,TR002,Refueling,2.4
2025-03-10,TR004,Refueling,4.0
2025-03-10,TR005,Breakdown,1.7
2025-03-10,TR008,Operator Delay,3.2
